City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Mount Isa,AU,2021-05-30 23:07:03,-20.7333,139.5,67.77,45,3,5.75
129,Utiel,ES,2021-05-30 23:07:04,39.5667,-1.2,60.66,58,100,5.21
130,Shimoda,JP,2021-05-30 23:07:04,34.6667,138.95,71.1,65,0,12.71
131,Maningrida,AU,2021-05-30 23:07:04,-12.0667,134.2667,72.46,80,99,10.38
132,Maragogi,BR,2021-05-30 23:02:50,-9.0122,-35.2225,75.22,89,48,6.2
133,Coahuayana,MX,2021-05-30 23:07:05,18.7333,-103.6833,89.15,43,88,6.62
134,Madimba,TZ,2021-05-30 23:07:05,-10.4,40.3333,73.42,90,68,5.77
135,Redcar,GB,2021-05-30 23:07:05,54.6166,-1.06,50.36,72,6,6.44
136,Whitehorse,CA,2021-05-30 23:07:06,60.7161,-135.0538,60.03,41,100,15.01
137,Kautokeino,NO,2021-05-30 23:07:06,69.0125,23.0412,42.69,81,100,6.02
138,Price,US,2021-05-30 23:07:06,39.5994,-110.8107,78.73,16,40,9.22
139,Kerugoya,KE,2021-05-30 23:07:07,-0.4989,37.2803,60.15,89,100,3.38
140,Carnarvon,AU,2021-05-30 23:07:07,-24.8667,113.6333,63.68,65,47,14.43
141,Banda Aceh,ID,2021-05-30 23:07:07,5.5577,95.3222,80.15,72,66,13.27
142,Avarua,CK,2021-05-30 23:07:08,-21.2078,-159.775,78.85,53,47,8.05
143,Coquimbo,CL,2021-05-30 23:07:08,-29.9533,-71.3436,55.13,94,0,3.27
144,Patrocinio,BR,2021-05-30 23:05:05,-18.9439,-46.9925,67.96,52,100,3.09
145,Lagoa,PT,2021-05-30 23:07:09,39.05,-27.9833,62.83,86,81,9.1
146,La Ronge,CA,2021-05-30 23:07:09,55.1001,-105.2842,63.36,33,35,5.66
147,Cotonou,BJ,2021-05-30 23:07:09,6.3654,2.4183,82.65,80,79,12.48
148,Bintulu,MY,2021-05-30 23:07:10,3.1667,113.0333,77.13,88,60,2.35
149,Kassala,SD,2021-05-30 23:07:10,15.451,36.4,92.43,21,52,8.43
150,Svetlogorsk,BY,2021-05-30 23:07:10,52.6333,29.7333,45.03,80,100,7.56
151,Beringovskiy,RU,2021-05-30 23:07:11,63.05,179.3167,38.46,74,40,12.37
152,Arequipa,PE,2021-05-30 23:03:43,-16.3989,-71.535,58.26,58,96,3.11
153,Pasinler,TR,2021-05-30 23:07:11,39.9803,41.6764,45.59,73,2,1.41
154,Pedernales,DO,2021-05-30 23:07:11,18.0384,-71.744,82.78,70,64,9.66
155,Albanel,CA,2021-05-30 23:07:12,48.8832,-72.4487,60.85,52,65,4.0
156,Hostivice,CZ,2021-05-30 23:07:12,50.0816,14.2586,44.71,88,0,5.75
157,Naantali,FI,2021-05-30 23:07:12,60.4674,22.0243,50.41,62,0,8.55
158,Rovaniemi,FI,2021-05-30 23:07:13,66.5,25.7167,51.21,53,0,8.05
159,Baruun-Urt,MN,2021-05-30 23:07:13,46.6806,113.2792,40.46,90,100,15.08
160,Qaanaaq,GL,2021-05-30 23:07:13,77.484,-69.3632,31.01,95,100,1.59
161,Cobija,BO,2021-05-30 23:07:14,-11.0267,-68.7692,79.34,73,95,3.04
162,Longyearbyen,SJ,2021-05-30 23:06:03,78.2186,15.6401,33.64,80,90,2.3
163,Borba,BR,2021-05-30 23:07:14,-4.3878,-59.5939,79.63,73,94,1.9
164,Ponta Do Sol,PT,2021-05-30 23:04:14,32.6667,-17.1,65.12,48,20,5.66
165,Avera,US,2021-05-30 23:07:15,33.194,-82.5271,78.46,39,0,2.68
166,Dibulla,CO,2021-05-30 23:07:15,11.2725,-73.3091,79.54,78,100,3.13
167,Santa Marta,CO,2021-05-30 23:07:15,11.2408,-74.199,85.98,63,99,11.99
168,Atar,MR,2021-05-30 23:07:16,20.5169,-13.0499,91.29,26,67,7.23
169,Santa Cruz,BO,2021-05-30 23:03:57,-17.8,-63.1667,67.87,42,99,9.55
170,Talnakh,RU,2021-05-30 23:05:31,69.4865,88.3972,36.25,98,100,14.7
171,Kaupanger,NO,2021-05-30 23:07:16,61.1845,7.2404,62.11,62,6,0.85
172,Kapaa,US,2021-05-30 23:07:17,22.0752,-159.319,85.48,67,1,3.0
173,Lompoc,US,2021-05-30 23:07:17,34.6391,-120.4579,83.7,73,1,17.27
174,Rawson,AR,2021-05-30 23:07:17,-43.3002,-65.1023,52.09,71,90,18.14
175,Smithers,CA,2021-05-30 23:03:02,54.7804,-127.1743,53.92,76,90,2.3
176,Marsh Harbour,BS,2021-05-30 23:05:27,26.5412,-77.0636,78.87,77,66,12.3
177,Acapulco,MX,2021-05-30 23:02:50,16.8634,-99.8901,87.48,62,96,7.02
