City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Puri,IN,19.8,85.85,88.38,89,4,13.09,clear sky
219,Te Anau,NZ,-45.4167,167.7167,48.04,90,99,4.83,overcast clouds
220,Kavaratti,IN,10.5669,72.642,83.48,77,92,15.41,overcast clouds
221,Tasiilaq,GL,65.6145,-37.6368,33.31,73,6,5.01,clear sky
222,Fukue,JP,32.6881,128.8419,70.3,78,100,7.34,overcast clouds
223,Lagoa,PT,39.05,-27.9833,59.67,58,58,13.02,broken clouds
224,Thanh Hoa,VN,19.8,105.7667,83.1,85,78,3.69,broken clouds
225,Samarai,PG,-10.6167,150.6667,78.31,75,96,17.92,overcast clouds
226,Arco,IT,45.9177,10.8867,64.58,90,43,1.12,scattered clouds
227,San Juan,AR,-31.5375,-68.5364,73.72,35,73,13.2,broken clouds
228,Riyadh,SA,24.6877,46.7219,91.54,16,0,3.44,clear sky
229,San Luis,AR,-33.295,-66.3356,56.53,48,95,11.45,overcast clouds
230,Progreso,MX,21.2833,-89.6667,94.1,71,78,17.34,broken clouds
231,Kangaatsiaq,GL,68.3065,-53.4641,36.82,74,11,17.49,few clouds
232,Gold Coast,AU,-28.0,153.4333,59.29,93,91,3.94,overcast clouds
233,Severnyy,RU,50.677,36.5532,48.24,93,75,13.42,broken clouds
234,Newport,GB,51.5877,-2.9984,63.14,71,68,9.64,broken clouds
235,Taltal,CL,-25.4,-70.4833,62.98,79,23,4.0,few clouds
236,Umm Lajj,SA,25.0213,37.2685,88.27,48,40,8.75,scattered clouds
237,Rio Gallegos,AR,-51.6226,-69.2181,26.65,100,20,5.75,few clouds
238,Swan Hill,AU,-35.3378,143.5544,49.1,75,21,6.49,few clouds
239,Clyde River,CA,70.4692,-68.5914,26.83,93,90,6.91,overcast clouds
240,Arlit,NE,18.7369,7.3853,93.74,9,41,9.66,scattered clouds
241,Ropczyce,PL,50.0523,21.6089,51.71,80,44,3.27,scattered clouds
242,Faanui,PF,-16.4833,-151.75,79.9,69,72,14.14,broken clouds
243,Valparaiso,CL,-33.0393,-71.6273,73.04,56,0,11.5,clear sky
244,Ithaca,US,42.4406,-76.4966,75.2,59,99,3.47,overcast clouds
245,Ahipara,NZ,-35.1667,173.1667,59.68,73,53,9.78,broken clouds
246,Topeka,US,39.0483,-95.678,73.74,67,90,3.0,overcast clouds
247,Lasa,IT,46.6166,10.7002,57.94,95,41,2.24,scattered clouds
248,Lesnoy,RU,57.6198,63.0784,48.76,57,92,3.42,overcast clouds
249,Roma,US,43.2128,-75.4557,73.89,73,63,3.98,broken clouds
250,New Norfolk,AU,-42.7826,147.0587,51.93,71,97,3.11,overcast clouds
251,Palmas Bellas,PA,9.2319,-80.0867,87.71,76,100,6.73,overcast clouds
252,Krasnoselkup,RU,65.7,82.4667,40.42,77,54,14.9,broken clouds
253,Tuktoyaktuk,CA,69.4541,-133.0374,35.6,64,75,11.5,broken clouds
254,Bilma,NE,18.6853,12.9164,92.98,7,63,7.61,broken clouds
